"NAME","TRAILHEADCODE__C"
"Salesforce Platform の基礎","W00-01"
"社員募集アプリケーション用のデータモデルの作成","W00-02"
"社員募集アプリケーションのユーザーインターフェースのカスタマイズ","W00-03"
"社員募集アプリケーションのデータ品質の向上","W00-04"
"社員募集アプリケーションのデータセキュリティの維持","W00-05"
"社員募集アプリケーション用のビジネスプロセスの自動化","W00-06"
"クイックスタート: Apex","W01-01"
"システム管理者のための Apex の基本","W01-02"
"システム管理者のためのオブジェクト指向プログラミング","W01-03"
"システム管理者のための SOQL","W01-04"
"Apex を使用してビジネスプロセスを自動化する","W01-05"
"Apex と .NET の基本","W01-06"
"Apex の基本とデータベース","W02-01"
"データベースと .NET の基本","W02-02"
"Apex トリガ","W02-03"
"Apex テスト","W03-01"
"クイックスタート: Salesforce 開発のための Visual Studio Code","W03-02"
"Advanced Apex Testing","W03-03"
"非同期 Apex","W04-01"
"Apex インテグレーションサービス","W04-02"
"クイックスタート: Visualforce","W05-01"
"Visualforce の基礎","W05-02"
"Visualforce と Lightning Experience","W05-03"
"クイックスタート: Lightning Web コンポーネント","W06-01"
"Lightning Web コンポーネント開発者ツールの設定","W06-02"
"Lightning Web コンポーネントの基本","W06-03"
"Lightning Web コンポーネントと Salesforce データ","W06-04"
"Lightning Web Components for Visualforce Developers","W06-05"
"Lightning Web コンポーネントを使用した熊追跡アプリケーションの作成","W07-01"
"Communicate Between Lightning Web Components","W07-02"
"Lightning Web コンポーネントのテスト","W07-03"
"Best Practices in Lightning Web Components","W07-04"
"クイックスタート: Aura コンポーネント","W07-05"
"Aura 開発者向け Lightning Web コンポーネント","W07-06"
"アプリケーションライフサイクルと開発モデル","W08-01"
"組織開発モデル","W08-02"
"変更セット開発モデル","W08-03"
"パッケージ開発モデル","W08-04"
"クイックスタート: Salesforce DX","W08-05"
"認定の準備: Platform デベロッパー: 開発者の基本事項","W09-01"
"認定の準備: Platform デベロッパー: プロセスの自動化とロジック","W09-02"
"認定の準備: Platform デベロッパー: ユーザーインターフェース","W09-03"
"認定の準備: Platform デベロッパー: テスト、デバッグ、リリース","W09-04"
